timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.22922, 0.09751, 0.07344, 2.87827,  0.03325, -0.04440, -0.44667, -0.00211, -0.00268, -0.01034
  0.23029, 0.09752, 0.07345, 2.87831,  0.03794, -0.04676, -0.43902, -0.00213, -0.00270, -0.01044
  0.23136, 0.09753, 0.07344, 2.87835,  0.03078, -0.05143, -0.43392, -0.00214, -0.00273, -0.01054
  0.23244, 0.09756, 0.07343, 2.87840,  0.02611, -0.05839, -0.44160, -0.00215, -0.00275, -0.01065
  0.23351, 0.09759, 0.07343, 2.87844,  0.03096, -0.06286, -0.45185, -0.00216, -0.00277, -0.01075
  0.23458, 0.09763, 0.07343, 2.87848,  0.03337, -0.06251, -0.44422, -0.00217, -0.00279, -0.01085
  0.23565, 0.09766, 0.07343, 2.87853,  0.03336, -0.06215, -0.43404, -0.00218, -0.00281, -0.01096
  0.23672, 0.09769, 0.07346, 2.87858,  0.04979, -0.05707, -0.42642, -0.00220, -0.00283, -0.01106
  0.23778, 0.09770, 0.07351, 2.87863,  0.05648, -0.04733, -0.40858, -0.00221, -0.00286, -0.01117
  0.23885, 0.09772, 0.07354, 2.87869,  0.04423, -0.04958, -0.40606, -0.00222, -0.00288, -0.01127
  0.23992, 0.09773, 0.07354, 2.87876,  0.03223, -0.04708, -0.41629, -0.00223, -0.00290, -0.01138
  0.24105, 0.09773, 0.07353, 2.87883,  0.02516, -0.04225, -0.41373, -0.00224, -0.00292, -0.01149
  0.24216, 0.09774, 0.07351, 2.87890,  0.02293, -0.04461, -0.41884, -0.00225, -0.00294, -0.01159
  0.24325, 0.09773, 0.07349, 2.87898,  0.02072, -0.03984, -0.41882, -0.00226, -0.00297, -0.01170
  0.24433, 0.09771, 0.07347, 2.87907,  0.02091, -0.03043, -0.42134, -0.00227, -0.00299, -0.01181
  0.24540, 0.09769, 0.07345, 2.87915,  0.02109, -0.03065, -0.42386, -0.00229, -0.00301, -0.01192
  0.24648, 0.09767, 0.07345, 2.87923,  0.02597, -0.03086, -0.41872, -0.00230, -0.00303, -0.01203
  0.24756, 0.09766, 0.07344, 2.87930,  0.02839, -0.03575, -0.40338, -0.00231, -0.00306, -0.01214
  0.24863, 0.09765, 0.07345, 2.87937,  0.03076, -0.03583, -0.40082, -0.00232, -0.00308, -0.01225
  0.24971, 0.09764, 0.07344, 2.87944,  0.02839, -0.03355, -0.40847, -0.00233, -0.00310, -0.01236
  0.25078, 0.09763, 0.07343, 2.87951,  0.02139, -0.03841, -0.41867, -0.00234, -0.00312, -0.01247
  0.25188, 0.09763, 0.07341, 2.87958,  0.02391, -0.04082, -0.42122, -0.00235, -0.00315, -0.01258
  0.25291, 0.09762, 0.07341, 2.87965,  0.02873, -0.03372, -0.41609, -0.00236, -0.00317, -0.01270
  0.25396, 0.09759, 0.07342, 2.87972,  0.03345, -0.02675, -0.41352, -0.00237, -0.00319, -0.01281
  0.25500, 0.09757, 0.07343, 2.87980,  0.03574, -0.02701, -0.41861, -0.00238, -0.00322, -0.01292
  0.25604, 0.09755, 0.07343, 2.87987,  0.03093, -0.03199, -0.42626, -0.00239, -0.00324, -0.01303
  0.25708, 0.09754, 0.07344, 2.87993,  0.03328, -0.03452, -0.42881, -0.00240, -0.00326, -0.01315
  0.25811, 0.09754, 0.07344, 2.87999,  0.03322, -0.03937, -0.42625, -0.00242, -0.00328, -0.01326
  0.25915, 0.09754, 0.07342, 2.88004,  0.02140, -0.04412, -0.41858, -0.00243, -0.00331, -0.01338
  0.26018, 0.09754, 0.07340, 2.88010,  0.01921, -0.03933, -0.41601, -0.00244, -0.00333, -0.01349
  0.26121, 0.09753, 0.07339, 2.88016,  0.02411, -0.03226, -0.41599, -0.00245, -0.00335, -0.01361
  0.26239, 0.09752, 0.07338, 2.88022,  0.02186, -0.03474, -0.41086, -0.00246, -0.00338, -0.01372
  0.26347, 0.09751, 0.07337, 2.88028,  0.02435, -0.03717, -0.40829, -0.00247, -0.00340, -0.01384
  0.26453, 0.09752, 0.07336, 2.88033,  0.02680, -0.03957, -0.41085, -0.00248, -0.00342, -0.01395
  0.26561, 0.09753, 0.07334, 2.88037,  0.01979, -0.04427, -0.40318, -0.00249, -0.00344, -0.01407
  0.26668, 0.09752, 0.07333, 2.88042,  0.01996, -0.03708, -0.39550, -0.00250, -0.00347, -0.01419
  0.26775, 0.09752, 0.07333, 2.88047,  0.02718, -0.03712, -0.39805, -0.00251, -0.00349, -0.01430
